VoterID,Name,Eligible
VOTER1070,Michael Davis,Yes
VOTER1071,John Doe,Yes
VOTER1072,Jane Smith,Yes
VOTER1073,Bob Williams,Yes
VOTER1074,Sarah Wilson,Yes
VOTER1075,Emily Brown,Yes
VOTER1076,Sarah Wilson,Yes
VOTER1077,Michael Davis,Yes
VOTER1078,Alice Johnson,No
VOTER1079,Sarah Wilson,Yes
VOTER1080,Sarah Wilson,Yes
VOTER1081,John Doe,Yes
VOTER1082,Alice Johnson,No
VOTER1083,Alice Johnson,No
VOTER1084,Sarah Wilson,Yes
VOTER1085,Sarah Wilson,Yes
VOTER1086,Sarah Wilson,Yes
VOTER1087,Sarah Wilson,Yes
VOTER1088,Michael Davis,Yes
VOTER1089,Olivia Thomas,No
VOTER1090,Emily Brown,Yes
VOTER1091,Sarah Wilson,Yes
VOTER1092,Sarah Wilson,Yes
VOTER1093,Olivia Thomas,No
VOTER1094,John Doe,Yes
VOTER1095,Sarah Wilson,Yes
VOTER1096,Alice Johnson,No
VOTER1097,Michael Davis,Yes
VOTER1098,John Doe,Yes
VOTER1099,Olivia Thomas,No
VOTER1100,Bob Williams,Yes
VOTER1101,Michael Davis,Yes
VOTER1102,Jane Smith,Yes
VOTER1103,Bob Williams,Yes
VOTER1104,Sarah Wilson,Yes
VOTER1105,Sarah Wilson,Yes
VOTER1106,Sarah Wilson,Yes
VOTER1107,Olivia Thomas,No
VOTER1108,Jane Smith,Yes
VOTER1109,Olivia Thomas,No
VOTER1110,Sarah Wilson,Yes
VOTER1111,Olivia Thomas,No
VOTER1112,Bob Williams,Yes
VOTER1113,Sarah Wilson,Yes
VOTER1114,Sarah Wilson,Yes
VOTER1115,Olivia Thomas,No
VOTER1116,Sarah Wilson,Yes
VOTER1117,Sarah Wilson,Yes
VOTER1118,Michael Davis,Yes
VOTER1119,Sarah Wilson,Yes
VOTER1120,Olivia Thomas,No
VOTER1121,Sarah Wilson,Yes
VOTER1122,Bob Williams,Yes
VOTER1123,Bob Williams,Yes
VOTER1124,Alice Johnson,No
VOTER1125,David Anderson,Yes
VOTER1126,Jane Smith,Yes
VOTER1127,Olivia Thomas,No
VOTER1128,Sarah Wilson,Yes
VOTER1129,David Anderson,Yes
VOTER1130,Bob Williams,Yes
VOTER1131,Sarah Wilson,Yes
VOTER1132,Sarah Wilson,Yes
VOTER1133,John Doe,Yes
VOTER1134,John Doe,Yes
VOTER1135,Alice Johnson,No
VOTER1136,Sarah Wilson,Yes
VOTER1137,Sarah Wilson,Yes
VOTER1138,Daniel Martinez,Yes
VOTER1139,Alice Johnson,No
VOTER1140,Bob Williams,Yes
VOTER1141,Sarah Wilson,Yes
VOTER1142,Jane Smith,Yes
VOTER1143,David Anderson,Yes
VOTER1144,Michael Davis,Yes
VOTER1145,Olivia Thomas,No
VOTER1146,Sarah Wilson,Yes
VOTER1147,Sarah Wilson,Yes
VOTER1148,Sarah Wilson,Yes
VOTER1149,John Doe,Yes
VOTER1150,Sarah Wilson,Yes
VOTER1151,Emily Brown,Yes
VOTER1152,Alice Johnson,No
VOTER1153,Sarah Wilson,Yes
VOTER1154,John Doe,Yes
VOTER1155,Sarah Wilson,Yes
VOTER1156,John Doe,Yes
VOTER1157,Michael Davis,Yes
VOTER1158,Jane Smith,Yes
VOTER1159,Sarah Wilson,Yes
VOTER1160,Sarah Wilson,Yes
VOTER1161,Michael Davis,Yes
VOTER1162,Alice Johnson,No
VOTER1163,Jane Smith,Yes
VOTER1164,Daniel Martinez,Yes
VOTER1165,Olivia Thomas,No
VOTER1166,Jane Smith,Yes
VOTER1167,John Doe,Yes
VOTER1168,John Doe,Yes
VOTER1169,Sarah Wilson,Yes
VOTER1170,Olivia Thomas,No
VOTER1171,John Doe,Yes
VOTER1172,Jane Smith,Yes
VOTER1173,Sarah Wilson,Yes
VOTER1174,Sarah Wilson,Yes
VOTER1175,Emily Brown,Yes
VOTER1176,Olivia Thomas,No
VOTER1177,Sarah Wilson,Yes
VOTER1178,Sarah Wilson,Yes
VOTER1179,Sarah Wilson,Yes
VOTER1180,Sarah Wilson,Yes
VOTER1181,John Doe,Yes
VOTER1182,Jane Smith,Yes
VOTER1183,Michael Davis,Yes
VOTER1184,Jane Smith,Yes
VOTER1185,Sarah Wilson,Yes
VOTER1186,Sarah Wilson,Yes
VOTER1187,Sarah Wilson,Yes
VOTER1188,Sarah Wilson,Yes
VOTER1189,Sarah Wilson,Yes
VOTER1190,Sarah Wilson,Yes
VOTER1191,Sarah Wilson,Yes
VOTER1192,Sarah Wilson,Yes
VOTER1193,Sarah Wilson,Yes
VOTER1194,Sarah Wilson,Yes
VOTER1195,Olivia Thomas,No
VOTER1196,Sarah Wilson,Yes
VOTER1197,Alice Johnson,No
VOTER1198,Alice Johnson,No
VOTER1199,Sarah Wilson,Yes
VOTER1200,Olivia Thomas,No
VOTER1201,Jane Smith,Yes
VOTER1202,Jane Smith,Yes
VOTER1203,Alice Johnson,No
VOTER1204,Sarah Wilson,Yes
VOTER1205,Sarah Wilson,Yes
VOTER1206,Olivia Thomas,No
VOTER1207,Bob Williams,Yes
VOTER1208,John Doe,Yes
VOTER1209,Sarah Wilson,Yes
VOTER1210,Sarah Wilson,Yes
VOTER1211,John Doe,Yes
VOTER1212,Alice Johnson,No
VOTER1213,David Anderson,Yes
VOTER1214,Bob Williams,Yes
VOTER1215,Bob Williams,Yes
VOTER1216,Bob Williams,Yes
VOTER1217,Sarah Wilson,Yes
VOTER1218,Sarah Wilson,Yes
VOTER1219,Michael Davis,Yes
VOTER1220,Sarah Wilson,Yes
VOTER1221,Olivia Thomas,No
VOTER1222,Sarah Wilson,Yes
VOTER1223,Alice Johnson,No
VOTER1224,Bob Williams,Yes
VOTER1225,Jane Smith,Yes
VOTER1226,Sarah Wilson,Yes
VOTER1227,Bob Williams,Yes
VOTER1228,Michael Davis,Yes
VOTER1229,Sarah Wilson,Yes
VOTER1230,Sarah Wilson,Yes
VOTER1231,Sarah Wilson,Yes
VOTER1232,Michael Davis,Yes
VOTER1233,Bob Williams,Yes
VOTER1234,John Doe,Yes
VOTER1235,Sarah Wilson,Yes
VOTER1236,Michael Davis,Yes
VOTER1237,Jane Smith,Yes
VOTER1238,Sarah Wilson,Yes
VOTER1239,David Anderson,Yes
VOTER1240,Bob Williams,Yes
VOTER1241,Emily Brown,Yes
VOTER1242,Michael Davis,Yes
VOTER1243,Michael Davis,Yes
VOTER1244,John Doe,Yes
VOTER1245,Bob Williams,Yes
VOTER1246,Sarah Wilson,Yes
VOTER1247,Sarah Wilson,Yes
VOTER1248,John Doe,Yes
VOTER1249,Sarah Wilson,Yes
VOTER1250,Bob Williams,Yes
VOTER1251,Sarah Wilson,Yes
VOTER1252,Bob Williams,Yes
VOTER1253,Alice Johnson,No
VOTER1254,Sarah Wilson,Yes
VOTER1255,Jane Smith,Yes
VOTER1256,Sarah Wilson,Yes
VOTER1257,John Doe,Yes
VOTER1258,Sarah Wilson,Yes
VOTER1259,Sarah Wilson,Yes
VOTER1260,Sarah Wilson,Yes
VOTER1261,Alice Johnson,No
VOTER1262,Sarah Wilson,Yes
VOTER1263,Jane Smith,Yes
VOTER1264,David Anderson,Yes
VOTER1265,John Doe,Yes
VOTER1266,Sarah Wilson,Yes
VOTER1267,Sarah Wilson,Yes
VOTER1268,Sarah Wilson,Yes
VOTER1269,Sarah Wilson,Yes
VOTER1270,Olivia Thomas,No
VOTER1271,Olivia Thomas,No
VOTER1272,Olivia Thomas,No
VOTER1273,Sarah Wilson,Yes
VOTER1274,Bob Williams,Yes
VOTER1275,Alice Johnson,No
VOTER1276,Sarah Wilson,Yes
VOTER1277,Olivia Thomas,No
VOTER1278,Sarah Wilson,Yes
VOTER1279,Sarah Wilson,Yes
VOTER1280,Emily Brown,Yes
VOTER1281,Sarah Wilson,Yes
VOTER1282,Bob Williams,Yes
VOTER1283,Michael Davis,Yes
VOTER1284,Alice Johnson,No
VOTER1285,Michael Davis,Yes
VOTER1286,Emily Brown,Yes
VOTER1287,Jane Smith,Yes
VOTER1288,Sarah Wilson,Yes
VOTER1289,Sarah Wilson,Yes
VOTER1290,Sarah Wilson,Yes
VOTER1291,Sarah Wilson,Yes
VOTER1292,Sarah Wilson,Yes
VOTER1293,Bob Williams,Yes
VOTER1294,Alice Johnson,No
VOTER1295,Michael Davis,Yes
VOTER1296,David Anderson,Yes
VOTER1297,Olivia Thomas,No
VOTER1298,Sarah Wilson,Yes
VOTER1299,Sarah Wilson,Yes
VOTER1300,Sarah Wilson,Yes
VOTER1301,Sarah Wilson,Yes
VOTER1302,Sarah Wilson,Yes
VOTER1303,Sarah Wilson,Yes
VOTER1304,Bob Williams,Yes
VOTER1305,Alice Johnson,No
VOTER1306,Michael Davis,Yes
VOTER1307,Michael Davis,Yes
VOTER1308,Alice Johnson,No
VOTER1309,Jane Smith,Yes
VOTER1310,Sarah Wilson,Yes
VOTER1311,Sarah Wilson,Yes
VOTER1312,Sarah Wilson,Yes
VOTER1313,Olivia Thomas,No
VOTER1314,Olivia Thomas,No
VOTER1315,Alice Johnson,No
VOTER1316,Sarah Wilson,Yes
VOTER1317,Sarah Wilson,Yes
VOTER1318,Olivia Thomas,No
VOTER1319,Sarah Wilson,Yes
VOTER1320,Sarah Wilson,Yes
VOTER1321,Sarah Wilson,Yes
VOTER1322,Sarah Wilson,Yes
VOTER1323,Bob Williams,Yes
VOTER1324,Sarah Wilson,Yes
VOTER1325,Olivia Thomas,No
VOTER1326,Sarah Wilson,Yes
VOTER1327,Sarah Wilson,Yes
VOTER1328,Bob Williams,Yes
VOTER1329,Sarah Wilson,Yes
VOTER1330,Olivia Thomas,No
VOTER1331,Sarah Wilson,Yes
VOTER1332,Sarah Wilson,Yes
VOTER1333,Sarah Wilson,Yes
VOTER1334,Emily Brown,Yes
VOTER1335,Sarah Wilson,Yes
VOTER1336,Emily Brown,Yes
VOTER1337,Sarah Wilson,Yes
VOTER1338,Olivia Thomas,No
VOTER1339,Emily Brown,Yes
VOTER1340,Emily Brown,Yes
VOTER1341,Bob Williams,Yes
VOTER1342,Alice Johnson,No
VOTER1343,Olivia Thomas,No
VOTER1344,Emily Brown,Yes
VOTER1345,Sarah Wilson,Yes
VOTER1346,Sarah Wilson,Yes
VOTER1347,Bob Williams,Yes
VOTER1348,Sarah Wilson,Yes
VOTER1349,Sarah Wilson,Yes
VOTER1350,Sarah Wilson,Yes
VOTER1351,Sarah Wilson,Yes
VOTER1352,Alice Johnson,No
VOTER1353,Bob Williams,Yes
VOTER1354,Sarah Wilson,Yes
VOTER1355,Bob Williams,Yes
VOTER1356,Sarah Wilson,Yes
VOTER1357,Sarah Wilson,Yes
VOTER1358,Sarah Wilson,Yes
VOTER1359,Alice Johnson,No
VOTER1360,Olivia Thomas,No
VOTER1361,Bob Williams,Yes
VOTER1362,John Doe,Yes
VOTER1363,Michael Davis,Yes
VOTER1364,Alice Johnson,No
VOTER1365,Sarah Wilson,Yes
VOTER1366,Sarah Wilson,Yes
VOTER1367,Sarah Wilson,Yes
VOTER1368,Olivia Thomas,No
VOTER1369,Sarah Wilson,Yes
VOTER1370,Jane Smith,Yes
VOTER1371,John Doe,Yes
VOTER1372,Alice Johnson,No
VOTER1373,Sarah Wilson,Yes
VOTER1374,Sarah Wilson,Yes
VOTER1375,Sarah Wilson,Yes
VOTER1376,Jane Smith,Yes
VOTER1377,Sarah Wilson,Yes
VOTER1378,Jane Smith,Yes
VOTER1379,Olivia Thomas,No
VOTER1380,Sarah Wilson,Yes
VOTER1381,Alice Johnson,No
VOTER1382,Sarah Wilson,Yes
VOTER1383,John Doe,Yes
VOTER1384,Michael Davis,Yes
VOTER1385,Sarah Wilson,Yes
VOTER1386,Sarah Wilson,Yes
VOTER1387,Olivia Thomas,No
VOTER1388,Sarah Wilson,Yes
VOTER1389,Sarah Wilson,Yes
VOTER1390,John Doe,Yes
VOTER1391,John Doe,Yes
VOTER1392,Bob Williams,Yes
VOTER1393,Jane Smith,Yes
VOTER1394,Sarah Wilson,Yes
VOTER1395,Olivia Thomas,No
VOTER1396,Sarah Wilson,Yes
VOTER1397,Sarah Wilson,Yes
VOTER1398,David Anderson,Yes
VOTER1399,Michael Davis,Yes
VOTER1400,John Doe,Yes
VOTER1401,Bob Williams,Yes
VOTER1402,David Anderson,Yes
VOTER1403,Olivia Thomas,No
VOTER1404,Olivia Thomas,No
VOTER1405,Sarah Wilson,Yes
VOTER1406,David Anderson,Yes
VOTER1407,Michael Davis,Yes
VOTER1408,Sarah Wilson,Yes
VOTER1409,John Doe,Yes
VOTER1410,John Doe,Yes
VOTER1411,Jane Smith,Yes
VOTER1412,Jane Smith,Yes
VOTER1413,Sarah Wilson,Yes
VOTER1414,Bob Williams,Yes
VOTER1415,Sarah Wilson,Yes
VOTER1416,Sarah Wilson,Yes
VOTER1417,Bob Williams,Yes
VOTER1418,Bob Williams,Yes
VOTER1419,Jane Smith,Yes
VOTER1420,John Doe,Yes
VOTER1421,Sarah Wilson,Yes
VOTER1422,Sarah Wilson,Yes
VOTER1423,John Doe,Yes
VOTER1424,Sarah Wilson,Yes
VOTER1425,Sarah Wilson,Yes
VOTER1426,John Doe,Yes
VOTER1427,Sarah Wilson,Yes
VOTER1428,Sarah Wilson,Yes
VOTER1429,Sarah Wilson,Yes
VOTER1430,John Doe,Yes
VOTER1431,Alice Johnson,No
VOTER1432,Olivia Thomas,No
VOTER1433,Sarah Wilson,Yes
VOTER1434,Sarah Wilson,Yes
VOTER1435,Sarah Wilson,Yes
VOTER1436,Sarah Wilson,Yes
VOTER1437,Bob Williams,Yes
VOTER1438,Sarah Wilson,Yes
VOTER1439,Jane Smith,Yes
VOTER1440,Jane Smith,Yes
VOTER1441,Jane Smith,Yes
VOTER1442,Sarah Wilson,Yes
VOTER1443,Sarah Wilson,Yes
VOTER1444,Sarah Wilson,Yes
VOTER1445,Alice Johnson,No
VOTER1446,Michael Davis,Yes
VOTER1447,Sarah Wilson,Yes
VOTER1448,Alice Johnson,No
VOTER1449,Jane Smith,Yes
VOTER1450,Daniel Martinez,Yes
VOTER1451,Bob Williams,Yes
VOTER1452,Sarah Wilson,Yes
VOTER1453,Bob Williams,Yes
VOTER1454,Bob Williams,Yes
VOTER1455,John Doe,Yes
VOTER1456,Bob Williams,Yes
VOTER1457,Jane Smith,Yes
VOTER1458,Olivia Thomas,No
VOTER1459,Sarah Wilson,Yes
VOTER1460,Jane Smith,Yes
VOTER1461,Sarah Wilson,Yes
VOTER1462,Sarah Wilson,Yes
VOTER1463,Daniel Martinez,Yes
VOTER1464,Sarah Wilson,Yes
VOTER1465,Alice Johnson,No
VOTER1466,Jane Smith,Yes
VOTER1467,Sarah Wilson,Yes
VOTER1468,Daniel Martinez,Yes
VOTER1469,Olivia Thomas,No
VOTER1470,Daniel Martinez,Yes
VOTER1471,Sarah Wilson,Yes
VOTER1472,Alice Johnson,No
VOTER1473,Sarah Wilson,Yes
VOTER1474,Emily Brown,Yes
VOTER1475,Sarah Wilson,Yes
VOTER1476,Michael Davis,Yes
VOTER1477,Sarah Wilson,Yes
VOTER1478,Michael Davis,Yes
VOTER1479,Sarah Wilson,Yes
VOTER1480,Jane Smith,Yes
VOTER1481,Olivia Thomas,No
VOTER1482,Sarah Wilson,Yes
VOTER1483,Sarah Wilson,Yes
VOTER1484,David Anderson,Yes
VOTER1485,Sarah Wilson,Yes
VOTER1486,Sarah Wilson,Yes
VOTER1487,Emily Brown,Yes
VOTER1488,Bob Williams,Yes
VOTER1489,Michael Davis,Yes
VOTER1490,Olivia Thomas,No
VOTER1491,Michael Davis,Yes
VOTER1492,Sarah Wilson,Yes
VOTER1493,John Doe,Yes
VOTER1494,Sarah Wilson,Yes
VOTER1495,Olivia Thomas,No
VOTER1496,Michael Davis,Yes
VOTER1497,Sarah Wilson,Yes
VOTER1498,Sarah Wilson,Yes
VOTER1499,Michael Davis,Yes
VOTER1500,Alice Johnson,No
VOTER1501,Sarah Wilson,Yes
VOTER1502,Bob Williams,Yes
VOTER1503,Jane Smith,Yes
VOTER1504,Alice Johnson,No
VOTER1505,Jane Smith,Yes
VOTER1506,John Doe,Yes
VOTER1507,John Doe,Yes
VOTER1508,Sarah Wilson,Yes
VOTER1509,David Anderson,Yes
VOTER1510,Jane Smith,Yes
VOTER1511,Alice Johnson,No
VOTER1512,Olivia Thomas,No
VOTER1513,John Doe,Yes
VOTER1514,Sarah Wilson,Yes
VOTER1515,Emily Brown,Yes
VOTER1516,Sarah Wilson,Yes
VOTER1517,Sarah Wilson,Yes
VOTER1518,Bob Williams,Yes
VOTER1519,Alice Johnson,No
VOTER1520,Alice Johnson,No
VOTER1521,John Doe,Yes
VOTER1522,Daniel Martinez,Yes
VOTER1523,Jane Smith,Yes
VOTER1524,Bob Williams,Yes
VOTER1525,Sarah Wilson,Yes
VOTER1526,Sarah Wilson,Yes
VOTER1527,Olivia Thomas,No
VOTER1528,Sarah Wilson,Yes
VOTER1529,Sarah Wilson,Yes
VOTER1530,Sarah Wilson,Yes
VOTER1531,Jane Smith,Yes
VOTER1532,Michael Davis,Yes
VOTER1533,Alice Johnson,No
VOTER1534,Jane Smith,Yes
VOTER1535,Michael Davis,Yes
VOTER1536,Sarah Wilson,Yes
VOTER1537,Sarah Wilson,Yes
VOTER1538,John Doe,Yes
VOTER1539,Sarah Wilson,Yes
VOTER1540,Michael Davis,Yes
VOTER1541,Sarah Wilson,Yes
VOTER1542,John Doe,Yes
VOTER1543,Sarah Wilson,Yes
VOTER1544,Alice Johnson,No
VOTER1545,Olivia Thomas,No
VOTER1546,Jane Smith,Yes
VOTER1547,Sarah Wilson,Yes
VOTER1548,Olivia Thomas,No
VOTER1549,Sarah Wilson,Yes
VOTER1550,Olivia Thomas,No
VOTER1551,Alice Johnson,No
VOTER1552,Sarah Wilson,Yes
VOTER1553,Bob Williams,Yes
VOTER1554,Michael Davis,Yes
VOTER1555,Olivia Thomas,No
VOTER1556,John Doe,Yes
VOTER1557,John Doe,Yes
VOTER1558,Sarah Wilson,Yes
VOTER1559,Daniel Martinez,Yes
VOTER1560,John Doe,Yes
VOTER1561,Alice Johnson,No
VOTER1562,Alice Johnson,No
VOTER1563,Michael Davis,Yes
VOTER1564,Alice Johnson,No
VOTER1565,Bob Williams,Yes
VOTER1566,Sarah Wilson,Yes
VOTER1567,John Doe,Yes
VOTER1568,Olivia Thomas,No
VOTER1569,Sarah Wilson,Yes
VOTER1570,Alice Johnson,No
VOTER1571,Michael Davis,Yes
VOTER1572,David Anderson,Yes
VOTER1573,Jane Smith,Yes
VOTER1574,John Doe,Yes
VOTER1575,Sarah Wilson,Yes
VOTER1576,Sarah Wilson,Yes
VOTER1577,Michael Davis,Yes
VOTER1578,John Doe,Yes
VOTER1579,Sarah Wilson,Yes
VOTER1580,Bob Williams,Yes
VOTER1581,Jane Smith,Yes
VOTER1582,Alice Johnson,No
VOTER1583,Jane Smith,Yes
VOTER1584,Jane Smith,Yes
VOTER1585,Olivia Thomas,No
VOTER1586,Sarah Wilson,Yes
VOTER1587,Sarah Wilson,Yes
VOTER1588,Sarah Wilson,Yes
VOTER1589,Olivia Thomas,No
VOTER1590,Olivia Thomas,No
VOTER1591,Bob Williams,Yes
VOTER1592,Sarah Wilson,Yes
VOTER1593,Sarah Wilson,Yes
VOTER1594,Sarah Wilson,Yes
VOTER1595,Sarah Wilson,Yes
VOTER1596,Olivia Thomas,No
VOTER1597,Alice Johnson,No
VOTER1598,John Doe,Yes
VOTER1599,Bob Williams,Yes
VOTER1600,Sarah Wilson,Yes
VOTER1601,Sarah Wilson,Yes
VOTER1602,Olivia Thomas,No
VOTER1603,Michael Davis,Yes
VOTER1604,John Doe,Yes
VOTER1605,John Doe,Yes
VOTER1606,Bob Williams,Yes
VOTER1607,Sarah Wilson,Yes
VOTER1608,Sarah Wilson,Yes
VOTER1609,Sarah Wilson,Yes
VOTER1610,Sarah Wilson,Yes
VOTER1611,Olivia Thomas,No
VOTER1612,Olivia Thomas,No
VOTER1613,Sarah Wilson,Yes
VOTER1614,Sarah Wilson,Yes
VOTER1615,John Doe,Yes
VOTER1616,Sarah Wilson,Yes
VOTER1617,Daniel Martinez,Yes
VOTER1618,Sarah Wilson,Yes
VOTER1619,John Doe,Yes
VOTER1620,Emily Brown,Yes
VOTER1621,Sarah Wilson,Yes
VOTER1622,Sarah Wilson,Yes
VOTER1623,Sarah Wilson,Yes
VOTER1624,Sarah Wilson,Yes
VOTER1625,John Doe,Yes
VOTER1626,Olivia Thomas,No
VOTER1627,Sarah Wilson,Yes
VOTER1628,Sarah Wilson,Yes
VOTER1629,John Doe,Yes
VOTER1630,Bob Williams,Yes
VOTER1631,Sarah Wilson,Yes
VOTER1632,Alice Johnson,No
VOTER1633,Michael Davis,Yes
VOTER1634,Jane Smith,Yes
VOTER1635,Olivia Thomas,No
VOTER1636,Sarah Wilson,Yes
VOTER1637,Bob Williams,Yes
VOTER1638,Jane Smith,Yes
VOTER1639,Jane Smith,Yes
VOTER1640,Sarah Wilson,Yes
VOTER1641,Sarah Wilson,Yes
VOTER1642,Sarah Wilson,Yes
VOTER1643,Michael Davis,Yes
VOTER1644,David Anderson,Yes
VOTER1645,Sarah Wilson,Yes
VOTER1646,Jane Smith,Yes
VOTER1647,Sarah Wilson,Yes
VOTER1648,John Doe,Yes
VOTER1649,John Doe,Yes
VOTER1650,Bob Williams,Yes
VOTER1651,Alice Johnson,No
VOTER1652,Sarah Wilson,Yes
VOTER1653,Sarah Wilson,Yes
VOTER1654,Sarah Wilson,Yes
VOTER1655,Jane Smith,Yes
VOTER1656,Sarah Wilson,Yes
VOTER1657,Olivia Thomas,No
VOTER1658,Olivia Thomas,No
VOTER1659,Sarah Wilson,Yes
VOTER1660,Olivia Thomas,No
VOTER1661,Alice Johnson,No
VOTER1662,Sarah Wilson,Yes
VOTER1663,Olivia Thomas,No
VOTER1664,Bob Williams,Yes
VOTER1665,Sarah Wilson,Yes
VOTER1666,John Doe,Yes
VOTER1667,Bob Williams,Yes
VOTER1668,Sarah Wilson,Yes
VOTER1669,Sarah Wilson,Yes
VOTER1670,Michael Davis,Yes
VOTER1671,Olivia Thomas,No
VOTER1672,Alice Johnson,No
VOTER1673,Alice Johnson,No
VOTER1674,Michael Davis,Yes
VOTER1675,Olivia Thomas,No
VOTER1676,Sarah Wilson,Yes
VOTER1677,Daniel Martinez,Yes
VOTER1678,Sarah Wilson,Yes
VOTER1679,Olivia Thomas,No
VOTER1680,Sarah Wilson,Yes
VOTER1681,Sarah Wilson,Yes
VOTER1682,Sarah Wilson,Yes
VOTER1683,Olivia Thomas,No
VOTER1684,Sarah Wilson,Yes
VOTER1685,John Doe,Yes
VOTER1686,John Doe,Yes
VOTER1687,Jane Smith,Yes
VOTER1688,Sarah Wilson,Yes
VOTER1689,Sarah Wilson,Yes
VOTER1690,Sarah Wilson,Yes
VOTER1691,Olivia Thomas,No
VOTER1692,Jane Smith,Yes
VOTER1693,Michael Davis,Yes
VOTER1694,Sarah Wilson,Yes
VOTER1695,Alice Johnson,No
VOTER1696,John Doe,Yes
VOTER1697,Sarah Wilson,Yes
VOTER1698,Bob Williams,Yes
VOTER1699,Alice Johnson,No
VOTER1700,Jane Smith,Yes
VOTER1701,Michael Davis,Yes
VOTER1702,John Doe,Yes
VOTER1703,Sarah Wilson,Yes
VOTER1704,Michael Davis,Yes
VOTER1705,Sarah Wilson,Yes
VOTER1706,Sarah Wilson,Yes
VOTER1707,Sarah Wilson,Yes
VOTER1708,Bob Williams,Yes
VOTER1709,John Doe,Yes
VOTER1710,Michael Davis,Yes
VOTER1711,Sarah Wilson,Yes
VOTER1712,Sarah Wilson,Yes
VOTER1713,Sarah Wilson,Yes
VOTER1714,John Doe,Yes
VOTER1715,Michael Davis,Yes
VOTER1716,Alice Johnson,No
VOTER1717,Olivia Thomas,No
VOTER1718,Olivia Thomas,No
VOTER1719,Sarah Wilson,Yes
VOTER1720,Michael Davis,Yes
VOTER1721,Olivia Thomas,No
VOTER1722,Sarah Wilson,Yes
VOTER1723,Bob Williams,Yes
VOTER1724,Sarah Wilson,Yes
VOTER1725,Sarah Wilson,Yes
VOTER1726,Michael Davis,Yes
VOTER1727,Emily Brown,Yes
VOTER1728,John Doe,Yes
VOTER1729,Jane Smith,Yes
VOTER1730,Olivia Thomas,No
VOTER1731,Sarah Wilson,Yes
VOTER1732,Sarah Wilson,Yes
VOTER1733,John Doe,Yes
VOTER1734,Sarah Wilson,Yes
VOTER1735,Sarah Wilson,Yes
VOTER1736,Sarah Wilson,Yes
VOTER1737,Jane Smith,Yes
VOTER1738,Sarah Wilson,Yes
VOTER1739,Sarah Wilson,Yes
VOTER1740,Michael Davis,Yes
VOTER1741,Sarah Wilson,Yes
VOTER1742,Sarah Wilson,Yes
VOTER1743,Bob Williams,Yes
VOTER1744,Olivia Thomas,No
VOTER1745,Sarah Wilson,Yes
VOTER1746,Sarah Wilson,Yes
VOTER1747,Sarah Wilson,Yes
VOTER1748,John Doe,Yes
VOTER1749,Sarah Wilson,Yes
VOTER1750,Jane Smith,Yes
VOTER1751,Michael Davis,Yes
VOTER1752,Bob Williams,Yes
